Pays/année	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
AFGHANISTAN					206	226	189	177	303	319	334	286	241
AFRIQUE DU SUD	5 254	5 438	5 958	6 312	6 130	6 560	6 447	6 987	6 998	7 054	7 108	7209	7283
ALBANIE	54	55	56	56	79	96	100	90	86	121	172	198	201
ALGERIE	7 389	12 541	22 202	30 964	38 080	41 498	36 782	34 718	30 993	28 287	28 830	30344	31677
ALLEMAGNE	87 677	96 619	107 774	106 781	101 391	108 821	99 288	106 842	109 468	111 742	114 372	110881	112238
ANDORRE	2 717	3 159	3 783	3 900	3 991	4 207	4 091	3 885	3 766	3 454	3 288	3309	3226
ANGOLA	1 109	1 107	1 190	1 196	1 202	1 447	1 577	1 710	1 695	1 859	2 070	2067	1896
ARABIE SAOUDITE	3 580	3 943	4 066	3 566	3 627	3 657	3 549	3 909	4 252	4 796	5 306	5387	5590
ARGENTINE	12 406	13 490	14 092	13 844	15 065	14 811	14 283	15 225	14 854	14 234	14 390	14444	14577
ARMENIE	436	458	487	446	401	510	493	509	513	600	591	574	554
AUSTRALIE	9 838	11 556	13 921	13 503	14 270	17 312	14 442	15 291	16 004	15 821	18 323	19104	20670
AUTRICHE	4 726	5 250	5 727	6 052	6 152	6 465	6 887	7 168	7 454	7 482	8 024	8291	8668
AZERBAIDJAN	85	84	109	97	107	132	136	155	155	146	164	152	173
BAHREIN	368	414	458	523	568	636	683	872	1 016	978	991	942	939
BANGLADESH	164	164	155	125	159	170	157	164	181	208	235	233	231
BELGIQUE	69 434	76 953	85 587	86 069	79 828	82 271	81 608	90 588	96 596	101 236	109 426	113563	115888
BENIN	3 127	3 349	3 535	3 694	3 366	3 722	3 025	3 332	3 435	3 584	3 694	3574	3755
BIELORUSSIE	68	56	66	71	63	69	78	82	99	111	139	140	160
BIRMANIE	196	198	229	248	269	265	234	274	280	254	270	298	486
BOLIVIE	771	738	736	814	851	912	909	1 027	1 125	1 230	1 204	1349	1416
BOSNIE-HERZEGOVINE	153	183	252	268	243	277	247	243	252	280	318	346	359
BOTSWANA	75	67	73	77	79	89	98	114	113	114	122	126	120
BRESIL	13 132	13 918	15 384	16 321	15 630	16 559	16 467	17 773	18 578	18 757	19 858	19754	20806
BRUNEI	95	95	122	105	103	106	120	129	142	182	186	205	207
BULGARIE	456	542	562	545	521	623	737	801	888	897	1 004	1063	1127
BURKINA	2 465	2 749	2 817	2 960	2 931	3 090	3 172	3 349	3 279	3 325	3 387	3467	3582
BURUNDI	179	184	232	232	276	359	406	375	430	438	444	412	429
CAMBODGE	1 689	1 976	2 224	2 465	2 323	2 626	2 785	3 053	3 131	3 436	3 897	4181	4530
CAMEROUN	5 666	6 046	6 155	6 024	5 774	5 833	5 099	5 567	5 774	5 881	6 183	6146	6210
CANADA	45 458	52 017	60 047	62 364	60 763	67 200	63 732	68 075	69 868	71 404	79 328	78647	83295
CAP-VERT	186	196	195	217	246	294	328	310	351	337	389	390	412
CENTRAFRIQUE (Rép.)	1 208	1 278	1 178	1 178	1 086	1 293	1 164	1 215	1 177	1 210	1 296	1260	765
CHILI	5 832	6 521	7 363	7 331	7 610	8 400	8 563	9 763	10 139	10 595	11 046	10577	10623
CHINE	8 136	9 244	10 202	11 854	13 785	17 185	18 765	22 231	24 953	27 207	30 305	30787	31275
CHYPRE	833	928	946	954	981	1 149	1 183	1 291	1 339	1 323	1 339	1372	1428
COLOMBIE	3 965	3 656	3 424	3 306	3 033	3 468	3 180	3 701	3 890	4 119	4 545	4799	5029
COMORES	1 120	976	1 016	1 036	1 301	1 473	1 590	1 587	1 667	1 622	1 971	2137	1998
CONGO	2 389	2 617	2 727	2 975	3 102	3 771	3 455	3 910	4 284	4 512	5 083	5065	5561
CONGO (REP. DEMOCRAT.)	934	882	1 035	1 170	1 346	1 673	1 721	2 090	2 145	2 524	2 448	2578	2630
COREE DU SUD	1 354	1 478	1 560	1 611	1 554	1 526	1 559	1 715	1 843	1 989	1 993	2054	2451
COSTA RICA	889	919	1 046	1 238	1 344	1 534	1 492	1 659	1 699	1 946	2 093	2156	2253
COTE D'IVOIRE	16 244	16 120	16 475	12 414	11 554	13 018	9 491	11 248	12 153	13 094	13 221	13778	14162
CROATIE	563	599	636	690	745	847	872	900	924	900	925	984	1006
CUBA	535	582	602	526	485	556	520	507	526	516	510	551	563
DANEMARK	2 905	3 348	3 744	3 570	3 838	4 408	3 745	4 258	4 462	4 903	5 214	5260	5216
DJIBOUTI	4 872	4 548	4 508	4 248	4 273	5 495	4 426	4 691	4 899	4 901	5 142	4875	4929
DOMINICAINE (REP.)	1 443	1 756	1 962	1 923	2 548	2 885	2 619	2 856	3 090	3 447	3 818	3967	3994
EGYPTE	3 807	4 123	4 322	5 360	5 331	5 872	4 984	5 579	6 016	6 381	6 483	6284	5971
